TalonLength	Population
22.8	England
25.2	England
24.0	England
25.6	England
15.0	England
20.4	England
27.0	England
13.3	England
27.6	England
28.6	England
16.8	England
21.5	England
18.2	England
23.9	England
10.2	England
20.0	England
21.1	England
17.3	England
19.9	England
13.8	England
19.8	England
17.5	England
19.9	England
14.4	England
28.3	England
24.6	England
21.4	England
15.5	England
23.9	England
19.7	England
19.0	England
18.7	England
23.0	England
17.4	England
16.2	England
17.9	England
20.6	England
25.0	England
14.3	England
25.8	England
12.3	England
24.2	England
21.3	England
24.9	England
14.1	England
22.4	England
20.6	England
18.9	England
15.7	England
29.1	England
27.5	England
22.3	England
26.5	England
8.8	England
27.3	England
20.6	England
20.0	England
19.9	England
19.8	England
24.2	England
18.9	England
25.3	England
21.0	England
20.9	England
23.3	England
19.9	England
18.0	England
20.1	England
21.4	England
20.3	England
13.6	England
13.9	England
10.8	England
24.1	England
17.6	England
21.9	England
15.7	England
27.4	England
20.5	England
28.2	England
23.8	England
25.5	England
19.3	England
20.8	England
25.9	England
24.6	England
17.9	England
25.9	England
20.2	England
22.0	England
17.6	England
16.2	England
18.3	England
18.2	England
20.0	England
9.9	England
21.1	England
21.7	England
11.0	England
18.6	England
19.7	England
14.7	England
12.4	England
20.1	England
21.1	England
19.9	England
18.7	England
22.4	England
25.5	England
20.9	England
23.2	England
30.7	England
26.7	England
13.7	England
21.4	England
21.5	England
22.5	England
13.3	England
16.6	England
21.9	England
16.5	England
25.0	England
17.8	England
16.4	England
14.1	England
18.2	England
23.2	England
22.6	England
18.1	England
22.2	England
18.1	England
17.3	England
28.0	England
16.0	England
19.1	England
16.7	England
17.6	England
23.3	England
21.0	England
31.3	England
20.9	England
22.4	England
24.8	England
17.6	England
24.6	England
23.0	England
27.9	England
14.7	England
31.3	England
21.7	England
20.0	England
19.8	England
22.9	England
19.5	England
24.5	England
27.8	England
29.4	England
21.2	England
27.3	England
27.2	England
26.7	England
20.9	England
24.2	England
24.6	England
15.1	England
24.4	England
22.4	England
19.8	England
21.3	England
22.2	England
25.5	England
13.8	England
20.2	England
17.2	England
25.5	England
25.2	England
28.4	England
16.6	England
20.4	England
24.6	England
20.5	England
27.5	England
19.5	England
22.9	England
28.9	England
24.3	England
21.4	England
17.5	England
16.5	England
24.2	England
28.1	England
17.3	England
19.5	England
20.4	England
24.5	England
20.2	England
15.9	England
16.3	England
24.4	England
22.4	England
59.7	Scotland
63.4	Scotland
64.1	Scotland
56.0	Scotland
61.3	Scotland
69.5	Scotland
69.1	Scotland
63.1	Scotland
61.7	Scotland
50.0	Scotland
55.5	Scotland
49.8	Scotland
61.0	Scotland
70.4	Scotland
48.4	Scotland
58.6	Scotland
52.3	Scotland
65.8	Scotland
58.2	Scotland
49.0	Scotland
56.1	Scotland
60.9	Scotland
55.7	Scotland
57.9	Scotland
58.4	Scotland
57.0	Scotland
56.9	Scotland
54.3	Scotland
56.3	Scotland
68.0	Scotland
45.9	Scotland
62.6	Scotland
54.8	Scotland
52.4	Scotland
62.3	Scotland
50.3	Scotland
57.2	Scotland
56.8	Scotland
56.9	Scotland
56.4	Scotland
53.6	Scotland
63.6	Scotland
45.0	Scotland
55.6	Scotland
58.9	Scotland
59.1	Scotland
46.9	Scotland
65.0	Scotland
62.2	Scotland
56.4	Scotland
68.8	Scotland
59.4	Scotland
52.9	Scotland
62.4	Scotland
80.0	Scotland
52.3	Scotland
57.9	Scotland
70.2	Scotland
66.1	Scotland
60.4	Scotland
59.9	Scotland
54.9	Scotland
61.1	Scotland
61.6	Scotland
52.0	Scotland
63.7	Scotland
45.6	Scotland
49.5	Scotland
67.3	Scotland
54.3	Scotland
56.8	Scotland
57.0	Scotland
56.1	Scotland
62.5	Scotland
56.3	Scotland
50.6	Scotland
51.2	Scotland
54.3	Scotland
67.1	Scotland
61.7	Scotland
58.9	Scotland
60.6	Scotland
58.9	Scotland
60.0	Scotland
53.6	Scotland
64.1	Scotland
53.4	Scotland
59.0	Scotland
55.2	Scotland
61.7	Scotland
64.7	Scotland
67.8	Scotland
57.2	Scotland
58.2	Scotland
62.1	Scotland
64.0	Scotland
55.3	Scotland
69.3	Scotland
66.4	Scotland
51.8	Scotland
59.0	Scotland
52.6	Scotland
59.1	Scotland
53.3	Scotland
62.7	Scotland
43.6	Scotland
68.7	Scotland
66.7	Scotland
57.4	Scotland
51.3	Scotland
54.1	Scotland
61.0	Scotland
51.5	Scotland
58.2	Scotland
59.1	Scotland
63.7	Scotland
55.2	Scotland
58.0	Scotland
43.1	Scotland
57.6	Scotland
58.2	Scotland
63.6	Scotland
63.4	Scotland
58.9	Scotland
59.5	Scotland
63.3	Scotland
60.6	Scotland
57.4	Scotland
56.3	Scotland
59.3	Scotland
65.9	Scotland
56.0	Scotland
54.2	Scotland
53.5	Scotland
58.9	Scotland
58.9	Scotland
56.7	Scotland
56.2	Scotland
67.8	Scotland
53.4	Scotland
71.3	Scotland
70.4	Scotland
51.7	Scotland
58.9	Scotland
61.0	Scotland
58.5	Scotland
62.8	Scotland
49.5	Scotland
51.4	Scotland
48.8	Scotland
53.2	Scotland
61.4	Scotland
51.7	Scotland
55.3	Scotland
49.1	Scotland
49.8	Scotland
61.5	Scotland
64.3	Scotland
54.0	Scotland
55.7	Scotland
59.7	Scotland
55.1	Scotland
55.2	Scotland
63.1	Scotland
